Checklist for Artic Field Sequencing Kit  (x100 Seq Samples),,,,,,,,,
Carrybag Recommended,Amazon,https://www.amazon.co.uk/dp/B01HIGO3OC/ref=twister_B01JOCNE5W,,,,,,,"Large scale haulage, with the option of both wheels and back-packing for the harder terrain. Going to be pretty heavy when full. "
Sequencing Cold Reagents (Native),,,,,,,,,
Reagent,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,Rationale
RT-PCR,,,,,,,,,
Vilo SSIV RT-PCR Kit (primary),,11756050,Thermo,£793 ,96.00,2.00,,,"Vilo provides the fastest and most robust means of cDNA synthesis for viruses, and would work perfectly well for other pathogens as well. Proven effective in the ebola outbreak, and also in subsequent sequencing of HIV and norovirus on low yield samples"
SSIV RT-PCR Kit (redundancy),,18091200,Thermo,"£1,947 ",200.00,1.00,,,"Back-up reagent which should provide broader specifications in the event that the pathogen is unknown, and also in the event that the vilo fails, this provides redundancy. Optional. "
Random hexamers,,N8080127,Thermo,£40.01 ,,1.00,,,Primary amplification of unknown pathogens in the event that vilo doesn't work. 
Oligo-dT primers,,AM5730G,Thermo,£105.38 ,,1.00,,,Amplification and pull-down of viruses in the event that other methods fail. Optional. 
,,,,,,,,,
Amplicon Genesis,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
KOD Polymerase (1000 rxns),,71086-4,Merck,£778 ,1000.00,1.00,,,"Kod has been providing ample length reads and accuracy for sample preparation, is rapid, and significantly more cost-effective than alternatives. Comes in 2 formats, 2x mastermix would be optimal for space, but 1000x reagent provides more samples."
10x KOD Buffer,,71086-4,Merck,-,1000.00,1.00,,,
MgS04 (25mM),,71086-4,Merck,-,1000.00,1.00,,,
dNTPs (10mM),,71086-4,Merck,-,1000.00,1.00,,,
Primers (100mM),,As Per Pathogen,Eurofins,-,500.00,1.00,,,"Individual primers, in the event that more than 100x samples need to be used, then it is optional to bring the unpooled primers in the kit. "
Primers (10mM),,As Per Pathogen,Eurofins,-,500.00,1.00,,,
"Primers (Pool 1, 10mM)",,As Per Pathogen,Eurofins,-,500.00,1.00,,,"Primers ordered from Eurofins, diluted to 100mM each, then pooled into a single 10x reaction volume, to allow easier transport than carrying the individual primers. Be cautious with dilution calculations. "
"Primers (Pool 2, 10mM)",,As Per Pathogen,Eurofins,-,500.00,1.00,,,"Primers ordered from Eurofins, diluted to 100mM each, then pooled into a single 10x reaction volume, to allow easier transport than carrying the individual primers. Be cautious with dilution calculations. "
Water (ddH20),,,,-,10000.00,1.00,,,
,,,,,,,,,
DNA quantification,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
Qubit HS Reagent (500),,Q32854,Thermo,£184.03 ,500.00,1.00,,,"Qubit 4 provides the greatest breadth of sample recognition and the best accuracy for NGS with nanopore. The NGS starter kit would be optimal, providing DNA HS Kit and tubes for 500 reactions. Optional addition of RNA 1x HS kit for primary sample quants. "
,,,,,,,,,
One-tube native BC preparation,,Cat No. ,Supplier,Cost,,,Packed (Y/N),Date Packed,
NEBNext UltraII End-prep Reaction Buffer (x2),,E7546L,NEB UK,£722 ,96.00,2.00,,,"As described in ""Quick"" protocol (Nature, 2017) provides the most rapid library preparation for native barcoding. "
NEBNext UltraII End-prep Enzyme Mix,,E7595L,NEB UK,"£1,204 ",96.00,2.00,,,
FFPE DNA Repair Buffer,,M6630L,NEB UK,£539 ,96.00,2.00,,,"Optional addition if the samples are of indeterminate age or quality, or isolated from difficult tissues. "
FFPE DNA Repair Mix,,,NEB UK,,96.00,2.00,,,
"Nanopore ""Standard Bundle""",,,,"£9,969 ",144.00,1.00,,,"Most expensive part of the kit, consisting of 12 R9.5 flowcells, 4 kits (to choice, but recommend LSK108 for ease of use, or rapid kits in the event of maximal speed requirement. If rapid kits are taken, suggest taking native kits as a backup.)"
Nanopore 1D Ligation Sequencing Kit,,SQK-LSK108,,,12.00,5.00,,,
Nanopore Library Loading Bead Kit,,,,,12.00,5.00,,,
Nanopore Native Barcoding Kit 1D (PCR-free),,EXP-NBD103,,£234 ,12.00,5.00,,,
Nanopore Flow cell wash kit,,,,,12.00,5.00,,,
Aline PCRCleanDX beads (250mL),,A63882 ,Cambio,"£1,690 ",,1.00,,,"Replacement for AmpureXP beads, no discernible difference in performance, and approximately half the price. For purification and size selection of amplicon products, follow same protocol outlined in ""Quick"" paper. "
,,,,,,,,,
Decontamination,,Cat No. ,Supplier,Cost,Reactions,Required,Packed (Y/N),Date Packed,
RNAse Zap wipes,,AM9788,Thermo (Ambion),£179.13 ,300.00,1.00,,,"Inactivation of RNAse prior to library preparation in Hood1 is recommended, along with decontamination of pipettes during use. "
DNAse away wipes,,10223471,ThermoFisher,£19.22 ,100.00,1.00,,,Reduction of DNA contamination prior to commencing protocol. Keep it away from the samples though.
UV lamps,Amazon,https://www.amazon.co.uk/Ultraviolet-Germicidal-Ulable-Steriliser-Disinfection/dp/B078LSR3MG/ref=sr_1_1?s=computers&ie=UTF8&qid=1516810047&sr=8-1&keywords=Ultraviolet+Germicidal+Ulable+sterilizer,Amazon,£14.88 ,2.00,2.00,,,"Prior to use and post-use of both hoods, recommend 30-60 mins of UV treatment of surfaces and equipment to prevent contamination. "
Back-tie lab gowns,,,,,,6.00,,,"Backtie lab gowns get in the way less than front button, but either would work. "
Portable glove box (sample prep),Amazon,https://www.amazon.co.uk/Black-Orchid-50x50x100-Hydroponics-Hydroponic/dp/B01B1MGRR0/ref=sr_1_5?ie=UTF8&qid=1516896486&sr=8-5&keywords=grow+tent,,,,1.00,,,"Recommend taking 2 of these hoods, to prevent cross contamination, one for PCR mastermixing and one for sample prep. Also recommend replacing metal frame with uPVC"
